Title,Speaker 1,Company 1,Bio 1,Speaker 2,Company 2,Bio 2,Description,Date,Sorting time,Time Start EDT,Time Start CEST,Time Close EST,Time Close CET,Duration,Label,Youtube URL
Database Resiliency,Ravikumar Buragapu,Adobe Inc.,,,,,,June 21,2022-06-21 07:00,"Jun 21, 7:00 AM","Jun 21, 13:00 ",,,,,https://youtu.be/vXpzF-zoru8
Percona Database Distributions - An Overview,Lenz Grimmer,Percona,"Lenz joined Percona as the Sr. Director of Engineering for Percona's Database Server products in January 2021. He started his career in Open Source Infrastructure Software in 1998 when he joined SUSE Linux. He also worked at MySQL/Sun/Oracle in various roles (Engineering, Community Relations, Product Management).",,,,"In this presentation, Lenz is providing an overview and update about Percona's database distributions for MongoDB, MySQL and PostgreSQL. Attendees will learn more about Percona's role in the open source database ecosystems and how Percona's database distributions help to solve common production use cases. The talk will also go over the most notable feature highlights that have been added to the distributions lately.",June 21,2022-06-21 08:00,"Jun 21, 8:00 AM","Jun 21, 14:00 ",,,,,https://youtu.be/4ub1Q7IuG18
Data Wrangling With MongoDB,Jean Joseph,Allied World,"Jean Joseph is a Data Engineer/DBA, Speaker, IT Event Planner, Blogger, Data Driven Community Builder, Founder & main organizer of Cloud Data Driven User Group & Future Data Driven Summit, highly experienced in Traditional Database, and Big Data technologies with a history of successes in designing, implementing complex technical projects for diverse businesses in various stages of their development.",,,,"This presentation is based on data wrangling with MongoDB. After this presentation, you will have the mindset of data wrangling. It is 70% demo, and 30% talk. Jean covers the goal of data wrangling, how to think about data wrangling, and then the technical tips for data wrangling in MongoDB.",June 21,2022-06-21 08:15,"Jun 21, 8:15 AM","Jun 21, 14:15 ",,,,,https://youtu.be/e98EqK6YBKs
Emulate Block Device Incidents With IO Scheduler,Yang Keao,PingCAP,"Yang Keao is a developer at PingCAP and a maintainer of Chaos Mesh, a
cloud native chaos engineering platform for Kubernetes. He also helps the
database developers and QA team to promote the stability of TiDB, which
is a distributed database developed by PingCAP.",,,,"Block device incidents are frequent and frightening in production. To achieve high availability, distributed databases usually have fault tolerant strategies to handle these incidents. As the system gets more complicated, it's even hard to prove whether these strategies are working. For example, if the execution and distribution of scheduling commands also depend on the hanging storage, it will have no effect.

In order to help developers verify the performance of their databases under storage disasters, we designed a Linux IO scheduler called IOEM to emulate the properties of block devices.

IOEM allows developers to specify latency and IOPS per block device and process, making it possible to emulate a complex cluster with limited resources.  Developers can emulate a wide range of properties of storage devices with little overhead. Besides the incidents, IOEM can also be used to measure the performance of databases under low-end storage devices.

In this talk, Yang Keao will show a real-world example where the fault-tolerant strategies failed, and how they reproduced them in the development environment with the help of IOEM. He will also introduce the structure and implementation of IOEM, compare it with other implementation of block device latency injection, and describe the convenience it will bring to the development of databases.",June 21,2022-06-21 09:00,"Jun 21, 9:00 AM","Jun 21, 15:00 ",x,,,,https://youtu.be/LQHxt3DtQxk
How do We Keep Metrics for a Long Time in VictoriaMetrics,Anton Bystrov,Percona - Simbirsoft ,"Engineer, working with monitoring",,,,"What is VictoriaMetrics? Why we choose it. Some data with compare VM and Prometheus. What is TSDB? How tuneup VM for preventing crash. What is deduplication, dawnsampling. How it works?",June 21,2022-06-21 10:00,"Jun 21, 10:00 AM","Jun 21, 16:00 ",,,,,https://youtu.be/SGZjY7xgDwE
Flexible Indexing With Postgres,Bruce Momjian,EDB,"Bruce Momjian is co-founder and core team member of the PostgreSQL Global Development Group, and has worked on PostgreSQL since 1996. He has been employed by EDB since 2006. He has spoken at many international open-source conferences and is the author of PostgreSQL: Introduction and Concepts, published by Addison-Wesley. Prior to his involvement with PostgreSQL, Bruce worked as a consultant, developing custom database applications for some of the world's largest law firms. As an academic, Bruce holds a Masters in Education, an honorary doctorate, was a high school computer science teacher, and lectures internationally.",,,,"When considering database indexing, many people are confused by the many Postgres indexing structures available, and the many data-type-specific index lookup methods. This talk explores the various indexing features of Postgres and when to use them.",June 21,2022-06-21 11:00,"Jun 21, 11:00 AM","Jun 21, 17:00 ",,,,,https://youtu.be/QQ1eyBcphEs
"Making Databases as Easy as Legos: No code, No problem!",Farokh Shahabi,Formaloo,Co-founder & CEO of Formaloo,,,,"The race to reinvent databases for non-developers has just begun and no, businesses won't settle to spreadsheets.",June 21,2022-06-21 13:00,"Jun 21, 1:00 PM","Jun 21, 19:00 ",,,,,https://youtu.be/tP1pEr3sS0w
10 Deadly PostgreSQL Sins,Matt Yonkovit,Percona,"Matt is currently working as the Head of Open Source Strategy (HOSS) for Percona, a leader in open source database software and services. He has over 15 years of experience in the open source industry including over 10 years of executive-level experience leading open source teams. Matt’s experience merges the technical and business aspects of the open source database experience with both a passion for hands on development and management and the leadership of building strong teams. During his time he has created or managed business units responsible for service delivery (consulting, support, and managed services ), customer success, product management, marketing, and operations. He currently leads efforts around Percona’s OSPO, community, and developer relations efforts. He hosts the HOSS talks FOSS podcast, writes regularly, and shares his MySQL and PostgreSQL knowledge as often as possible.",Barrett Chambers,Percona,"Barrett is a Senior Solutions Engineer at Percona focused on assisting Percona’s customers and the community at adopting open source software solutions to meet Enterprise needs. Barrett has been at Percona for over 4 years and is well-versed in technology solutions in the MySQL, MongoDB, and PostgreSQL space.","PostgreSQL is one of the most popular open source databases on the planet. According to recent research, it is the most wanted, most loved, and the fastest growing open source database on the market today. As people use PostgreSQL for more and more projects, many of them are falling into the same traps, problems, and issues that many others have. Our support organization has worked with 1000’s of customers worldwide and seen every possible database problem from the easy to the complex. While every problem has the potential to be unique, there are several we see happening over and over again. Our mission is to prevent you from experiencing the pain so many others have experienced. With our tips and tricks, you will be sure to exorcise the 7 deadly PostgreSQL sins from your environment. After doing that we will look ahead to talk about some of the most exciting and interesting new features in PostgreSQL!",June 21,2022-06-21 14:00,"Jun 21, 2:00 PM","Jun 21, 20:00 ",,,,,https://youtu.be/vKfFmyjVmRc
I Dropped My Database! Now What? - A Dive Into PostgreSQL Backup Using pgBackRest and How to Use it for PITR,Charly Batista,Percona,"A Brazilian living in China... Charly is passionate about new cultures, their languages and traditions. Charly has been working with database and development for more than 15 years and has participated in small and large projects in Brazil, the US, China, and other countries. Currently, he is the PostgreSQL Tech Lead at Percona.",,,,"We live in a dangerous world and a catastrophe can happen at any time, including in our database. We can have a hardware failure, software failure, malicious software, or a human error and find ourselves with a data loss. While we work hard to prevent all those some are just not under our control and we cannot rely on luck, we need strategy and methods to be able to recover the maximum data we can in case a catastrophic event happens and this is what we will discuss during this talk. How to survive catastrophic events and recover data back!",June 21,2022-06-21 15:00,"Jun 21, 3:00 PM","Jun 21, 21:00 ",,,,,https://youtu.be/AbYBlTomQus
How to Build Percona Server 8 on Raspberry Pi 4,Wayne Leutwyler,Optum,"When I’m not working with MySQL or other Open-source software packages. I like to do woodworking, 3D design and Printing, listening to all forms of Metal music and electronic projects with Raspberry PI, Arduino. Wayne lives in Powell Ohio, with his wife, daughter, 6 cats and 2 dogs.",,,,"We will look at the needed packages and commands to build Percona Server 8 from source 
 on a Raspberry Pi 4 running Raspbian Bullseye 64Bit OS. I will demonstrate the running product during the talk. ",June 21,2022-06-21 16:00,"Jun 21, 4:00 PM","Jun 21, 22:00 ",,,,,https://youtu.be/bjQ9i1y49IM
