Name (Required),Company,Position,Location,Bio/Description,Link To Image File
Matthew Boehm,Percona,Senior Instructor / Senior Architect,,"Matthew joined Percona in the fall of 2012 as a MySQL Consultant; now Senior Architect / Senior Instructor. His areas of knowledge include the traditional LAMP stack, memcached, MySQL Cluster, massive sharding topologies, and PHP/GoLang/C/C++ MySQL development. Previously, Matthew was a DBA for the 5th largest world-wide MySQL installation at eBay/PayPal. During his off-hours, Matthew is a nationally ranked, competitive West Coast Swing dancer and travels to competitions around the US. He enjoys working out, camping, biking, and shooting Junior-Olympic Recurve Archery with his kids.",https://avatars.sched.co/0/0c/11729556/avatar.jpg.320x320px.jpg?6f6
Douglas Bonser,Amazon,Sr. Specialist SA,,Douglas Bonser is a Senior DocumentDB Specialist Solutions Architect for AWS based out of the Dallas/Ft. Worth area in Texas. He enjoys helping customers solve problems and modernize their applications using NoSQL database technology. Throughout his career he has worked extensively with NoSQL and relational database technologies for over 30 years.,https://avatars.sched.co/a/a3/14656662/avatar.jpg.320x320px.jpg?a3c
Francisco Bordenave,Percona,Senior Architect,,"Francisco has been working in MySQL since 2006, he has worked for several companies which includes Health Care industry to Gaming. Over the last years he has been working as a database architect which help him to acquire a lot of technical and multi-cultural skills.",https://avatars.sched.co/f/08/14617146/avatar.jpg.320x320px.jpg?f0f
Peter Boros,Percona,Principal Architect,,"Peter is a Principal Architect in Percona's consulting team. He has been using and working with open source software from early 2000s. Peter's first and foremost professional interest is performance tuning and large scale automation. Before rejoining Percona, Peter worked on large scale MySQL issues of Silicon Valley companies. Before joining Percona the first time, among many other things, he worked at Sun Microsystems, specialized there in performance tuning and was a DBA at Hungary's largest social networking site. He also taught many Oracle University MySQL courses. He currently lives in Debrecen, Hungary, with his wife and kids.",https://avatars.sched.co/0/65/1156665/avatar.jpg.320x320px.jpg?c3e
Amanda Brock,OpenUK,CEO,"London, UK","Amanda is CEO of OpenUK, the UK body for the business of Open Technology (open source software, open hardware and open data); Board Member,Cabinet Office Open Standards Board; Advisory Board Member, Government Energy Sector Digitalisation Task Force, OASIS Open Projects, KDE, Free BSD, Planet Crust, Everseen, and Mimoto; and European Representative of the Open Invention Network.<br><br>She is the editor of Open Source, Law, Policy and Practise, being published open access by OUP in 2022. A lawyer of 25 years’ experience, she chaired the Open Source and IIP Advisory Group of the United Nations Technology Innovation Labs and was General Counsel of Canonical for 5 years.",https://avatars.sched.co/6/db/11810135/avatar.jpg.320x320px.jpg?ecd
Lakshman Bulusu,Princetoinfo,Consultant,,"Lakshman Bulusu has around 30 years of US experience as a database developer, database engineer, and database architect using Oracle, MySql, Sqlserver and Vertica across telecom, retail, healthcare, pharma, and insurance industry verticals in both OLAP and OLTP environments.<br><br>His book Open Source Datawarehousing and Business Intelligence has been used as an application design, development and re-engineering guide by many clients for their open source projects.<br><br>He has earlier spoken at user group conferences, data and analytics summits and meetups in the US and UK.",https://avatars.sched.co/e/de/4845357/avatar.jpg.320x320px.jpg?0a6
Jesmar Cannao,ProxySQL LLC,COO,,"I've spent more than a decade making people and companies happy with their MySQL infrastructure: during the last 4, instead, I've made the same, making sure everyone would use ProxySQL in front of it!<br><br>Offer me a beer or a coffee and I'll tell you more :)",https://avatars.sched.co/7/ef/14602761/avatar.jpg.320x320px.jpg?37b
Rene Cannao,ProxySQL LLC,CEO,Malta,"René has over 2 decades of experience as System, Network and Database Administrator, focusing mainly on MySQL. In this period he build an analytic and problem solving mindset and he is always eager to take on new challenges, especially if they are related to high performance. From 2013 he is the author on ProxySQL, a high performance and high availability proxy for MySQL solutions.",https://avatars.sched.co/7/8a/11749994/avatar.jpg.320x320px.jpg?5e2
Barrett Chambers,Percona,"Director, Solutions Engineering",,"Barrett Chambers is the Director of Solutions Engineering at Percona. Prior to joining Percona, he acquired a range of full-stack perspectives as an Application Support Specialist, Operational DBA, SaaS engineer, and Solutions Engineer. Barrett has over 6 years of experience designing database solutions with consideration for high availability, disaster recovery, and performance for MySQL, PostgreSQL, and MongoDB environments.",https://avatars.sched.co/9/42/10078490/avatar.jpg.320x320px.jpg?cae
Colin Charles,codership (galera cluster),Consultant,Up In The Air,"Colin Charles is a Consultant at Codership, the makers of Galera Cluster. Previously, Colin was on the founding team of MariaDB Server, and has been around the MySQL ecosystem including being an early employee at MySQL, and worked actively on the Fedora and OpenOffice.org projects. Colin has been a MySQL user since 2000.",https://avatars.sched.co/f/53/736493/avatar.jpg.320x320px.jpg?a5e
Michael Coburn,Percona,Principal Architect,Mexico,"Michael joined Percona as a Consultant in 2012 after having worked with high volume stock photography websites and email service provider platforms. With a foundation in Systems Administration, Michael acted as Product Manager responsible for Percona Monitoring and Management (PMM), and is now Principal Architect with Percona's Professional Services team. A Canadian, Michael currently lives in México with his family.",https://avatars.sched.co/a/47/10400995/avatar.jpg.320x320px.jpg?14c
Matthias Crauwels,Pythian Services Inc,Principal Consultant,Ledeberg,"Since the age of 10 I’ve always been passionate about computers. I’ve been working with them ever since. In 2005 I got my degree in computer science. I used to work at a major Belgian university where I was developing e-learning applications. In that position, I was the one who looked after the databases. In 2017 I left the university and joined Pythian as a MySQL Database Consultant. Currently, I am a Principal Consultant at Pythian providing technical thought leadership for the Open-Source database practice.",https://avatars.sched.co/f/d7/11929860/avatar.jpg.320x320px.jpg?cc2
